,Text,Positive?
53,إن الدين عند الله الإسلام .. هذا هو الدين الذي يجب أن يعتنقه كل إنسان علي وجه الأرض وليس العرب فقط .. اللهم أهدي غير المسلمين إلي دين الإسلام ,1.0
54,إنما المؤمنون أخوة,1.0
55,إنه دين يسر وليس بدين عسر,1.0
56,إنه غير مسلم ويعرف قلبه الوفاء فكيف حال المسلمين اللهم أرزق بنات المسلمين زوجا طيبا محبا مثله ,1.0
57,ابتسم امام كل الناس لتسرهم و تجبر خواطرهم فتبسمك في وجوههم صدقه,1.0
58,ابتسم بنيه طيبه و فقط,1.0
59,ابتسم و هدي اعصابك,1.0
60,ابتعد عن التشاؤم وعيش يومك بالتفاؤل لغد احلى,1.0
61,ابدأ بنفسى الأول اغيرها,1.0
62,اتحزن : فإن الله يدافع عنك ، والملائكة تستغفر لك ، و المؤمنون يشركونك في دعائهم كل صلاة ،و النبي صلى الله عليه و سلم يشفع ، و القرآن يعدك وعدا حسنا ،و فوق هذا رحمة أرحم الراحمين,1.0
63,اترك ما تهوى لاجل من تخشى ,1.0
64,اتمنى ان يواسينا العرب بمصابنا ,1.0
65,اجمل حاجه في الحياه كلها اننا نرضي ربنا وبس مش كتير والله علي ربنا بالعكس ده ولا حاجه في نعمته علينا كفايه اننا مسلمين بس الحمد لله ,1.0
66,اجمل نابلس,1.0
67,احبك ربي ,1.0
68,احسن أظن بالله وتوكل عليه وحده,1.0
69,احسنت كلام دقيق جد,1.0
70,احسنت و ابدعت و وصفت ما يدور او يجول في راس كل شاب ملتزم و كل فتاه عفيفه نقيه تقيه,1.0
71,احلى اشي الواحد يوكل بدون ما يطبخ,1.0
72,احلى اشي في الحياة الاستقرار مع زوج صالح,1.0
73,احلى شىء النهاية الباقية صح كلامك,1.0
74,احمدك ربى على كل ما اعطيت وعلى كل ما منعت,1.0
75,احيانا الوحده تزيل بعضا من ألهموم ..,1.0
76,اخذت القرار لكن برجع تانى وخايفه اموت وانا بغضب ربنا سبحانه وتعالى مع انى انا حسه انى قلبى مليان وعامر بنور الله اعمل ايه اجوك انصحنى,1.0
77,ادعي من الله ان يقوني علي طاعته,1.0
78,اذا استعنت بالله وتوكلت عليه ونيتك كانت صادقة ..سوف يقف الله بجوارك...ولن يخزلك ابدا ..♥احبك ربى ,1.0
79,اذا دم البشر أحمر,1.0
80,اذا لم تقل لا للظلم فسيستمر إلى الابد,1.0
81,ارجوك يا استاذنا الفاضل ادعيلي بالنجاح في مسابقة المجستير العام القادم والشفاء بارك الله فيك,1.0
82,ارضى عني يا رب,1.0
83,اروع صفحة,1.0
84,ازعج شي الكذب,1.0
85,اسأل الله عزوجل له الثبات,1.0
86,اسال الله في علاه ان يحفظكم بما يحفظ به عباده الصالحون ,1.0
87,استاذ عمرو يا ريت شوية تركيز على اخوتنا في بورما انهم يتعرضوا لحرب اباده حقيقيه,1.0
88,استعينوا بالله يا مسلمين,1.0
89,اسعد الله صباحكم علامتنا بالخيرات,1.0
90,اسل الله ان يستجيب دعائكم,1.0
91,اشتاق للصلاه ودائما ,1.0
92,اشداء على الكفار رحماء بينهم,1.0
93,اشهد الله اني احبك فى الله و ادعوا ان نحشر مع حبيبنا و امامنا محمد صلى الله عليه و سلم فى الجنة امين,1.0
94,اصبحنا و اصبح الملك لله . اللهم لك الحمد .. احييتنا بعد ما متنا و اليك النشور,1.0
95,اصدقاء اوفياء ونتعلم منهم,1.0
96,اصلي يروح الهم ينشرح صدري ب الصلاة,1.0
97,اضحك تضحكلك الدني,1.0
98,اطمئن يا قلبى فرزقى لا ياخذة غيرى,1.0
99,اعمل ايه لو عاوزة اشترك مع نهر الخير,1.0
100,اعمل ليومك و غدك و كن متفائلا دائما يا صاحبي,1.0
101,اعملوا لآخرتكم ,1.0
102,اعنا يا ربنا,1.0
103,اعنكم الله و تقبل منكم و يسر طريقكم,1.0
104,افتح  قلبك للعالم ,1.0
105,اقولها لكل احبابي,1.0
106,اكرمك الله يا استاذي الفاضل ,1.0
107,اكيد طبعا,1.0
108,اكيد طبعا حب ربنا احسن من حب اي حد وانا فعلا عملت كدا,1.0
109,اكيد لا الله لا يحرمنا من هالنعمة العظيمة,1.0
110,اكيد لا دى نعمه ربنا يديمها علينا,1.0
111,اكيد لو فى كده الدنيا,1.0
112,اكيد ماحدا بيقدر.. يارب اعن الفقراء واعنا ع مساعدتهم,1.0
113,الأسلام نعمة كبيرة من عند ربنا لا تقدر بكنوز الدنيا كلها,1.0
114,الابتسامة كلمة بدون حروف,1.0
115,الابتسامه جميله,1.0
116,الابتسامه كلمه طيبه بغير حروف,1.0
117,الاخلاص اللهم انا نسالك الاخلاص فى القول و العمل و السر و العلن,1.0
118,الارواح جنود مجنده من تعارف منها أأتلف ومن تنافر منها اختلف,1.0
119,الاسلام ليس فيه رهبانيه,1.0
120,الاسلام هو حسن الخلق ألا تعرف بأن الحبيب صلى الله عليه و سلم لقب أمينا قبل نزول الوحي ,1.0
121,الامل بالله كبيييييير انشالله,1.0
122,الاهم نكون صادقين مع نفسنا لنكون صادقين مع الاخرين,1.0
123,الاولى من تغيير العالم تغيير النفس التى بداخلنا,1.0
124,البسك الله ثوب الصحه و العافيه صباحك ورد,1.0
125,البسمه سر من اسرار الحياة,1.0
126,البيت اللي فيه فرح و سعادة دايما بكون متفائل و سعيد بحاضره و مستقبله,1.0
127,التشائم يقتل الحياة,1.0
128,التفائل حلو في الحياة بس الاهم تكون عايش مع ناس متفائلين مش تكون لحالك المتفائل,1.0
129,الثقة باللة ثم النفس ويارب اجعلنا من يغير الناس الي ما ترضية,1.0
130,الحب الان بقى تيك اواى قليل اوى لما نلقى انسان مخلص فى حبه مع ان الحب ده اجمل واسما عاطفة فى الوجود,1.0
131,الحب الحقيقي عملة نادرة فعلاً وهو نعمة كبيرة من الله عزوجل,1.0
132,الحب بين الزوجين أوسع أبواب السعادة,1.0
133,الحب في الله شيء جميل جدا ,1.0
134,الحب مش ذل,1.0
135,الحمد الله على الاسلام .. يا رب اهدي كل من احب هذاا الدين وكل من تردد في دخوله .. وارحمنا جميعا ,1.0
136,الحمد انا متفائلة جدا في كا امور حياتي ورح اضل هيك دائما,1.0
137,الحمد لله أكسجين يعيد للصدر أنفاسه ، ف تجدها ب الصوت السعيد و الصوت المتئاكل من البكاء,1.0
138,الحمد لله اصبح على وجهك المشرق كل يوم,1.0
139,الحمد لله الحمد لله الحمد لله لن يسعنا الكون حمدا و شكرا ففضلك ربي اعظم و انت ربنا الاكرم,1.0
140,الحمد لله الذى لا يُحمد على مكره سواه,1.0
141,الحمد لله الذي بنعمته تتم الصالحات حمدا غير منقطع ,1.0
142,الحمد لله الذي رزقني بالإسلام,1.0
143,الحمد لله الذي نصرنا نصرا مؤزرا,1.0
144,"الحمد لله الذي هدانا لهذا...""",1.0
145,الحمد لله رب العالمين على عطاه و رضا,1.0
146,الحمد لله ع السلامه ,1.0
147,الحمد لله على الفهم,1.0
148,الحمد لله على القضا و القدر,1.0
149,الحمد لله على نعمة الإسلام,1.0
150,الحمد لله على نعمة الاسلام وكفى يها نعمة,1.0
151,الحمد لله على نعمه التي لا تحصى الحمد لله الذي تكفل برزقي الحمد لله لانه رب يستحق الحمد على السراء و الضراء,1.0
152,الحمد لله كلما ارى ناس اسلموا تعم الفرحة في قلبي,1.0
153,الحمد لله مااكرمك يا الله,1.0
154,الحمد لله نامل من الله ان يمن علينا بالهدايه,1.0
155,الحمدلله على كل حال,1.0
156,الحمدلله من كل ضيق اسجد لله احس ان فى اعله مستوا وانسا واتذلل الى الله ليحمينى من فتن الدنيا واحسن منزلى فى الجنه,1.0
157,الحمدلله وربنا يجعلنا من المداومين عليها والخاشعين,1.0
158,الخشوع أمر مهم جــدا في الصلاة,1.0
159,الخشوع إحساس جميل جد أمام الله القلب يحب و الدمع صافي و متعه و بعد الصلاة راحه فائقه أتمنى لكل المسلمين هذا الخشوع,1.0
160,الخشوع هو المرحلة التالية للتركيز والتركيز يأتى بإطالة القراءة والتدبر واطالة الركوع والسجود,1.0
161,الدال على الخير كفاعله,1.0
162,الدعوة مش بالكلام بس ممكن نكون دعاة بأخلاقنا و أسلوبنا و تعاملنا ,1.0
163,الدين أخلاق,1.0
164,الدين المعاملة,1.0
165,الدين المعاملة و ليس بالمظاهر,1.0
166,الذي طبعه رائع ما يمكن ان يتغير راح يبقه رائع,1.0
167,الرائع سيظل رائعا حتى نهاية العمر,1.0
168,الزمن الجميل ,1.0
169,السعي وراء الرزق عبادة و جهاد,1.0
170,الشكر لله اولا ثم  ل د.عمر خالد . كان سبب ف أرتد الحجاب,1.0
171,العبرة بالختام,1.0
172,العفو,1.0
173,الفرح  فرح  و سرور ,1.0
174,القدوة الحسنة خير من النصيحة,1.0
175,الكرامة فوق كل شيء,1.0
176,الكلام في البدايه بكون حلو لاكن من يبقي خير,1.0
177,اللمة هي احلى اشي بالافراح,1.0
178,الله أكرم ألآكرمين اللهم أعنا على أنفسنا واللهم أرضى عنك يارب العالمين,1.0
179,الله احفظ احبابي و اصدقائي من الحسد و الكيد و الفتنة و العين,1.0
180,الله اكبر ما احلاكم وما اشجعكم,1.0
181,الله اكبر و ما من دابتن الا على الله رزقه,1.0
182,الله اكبر والعزه للسلام,1.0
183,الله اكبر ولله الحمد,1.0
184,الله اكبر ولله الحمد مصر بخير فيها ناس كتير طيبين ,1.0
185,الله الله على اخلاق الصحابه...اصحاب رسول الله,1.0
186,الله الله عليك يا استاذ عمر و بارك الله لك و بارك عليك و جزاك الله عنا خيرا كثير,1.0
187,الله المستعان,1.0
188,الله ايه الجمال ده سبحانك ربي,1.0
189,الله تعالى معان,1.0
190,الله حيهم ما اكبرهم هالسباب,1.0
191,الله حيهم هالشباب انتوا القدوة,1.0
192,الله ع الكلام الجميل,1.0
193,الله على الكلام  يا رب أعينا,1.0
194,الله على دينا العظيم,1.0
195,الله عليك بجد رنا يهدينا كلنا ويهدي شباب المسلمين جميعا يارب العالمين,1.0
196,الله عليك يا شيخ تحفة,1.0
197,الله غلى المسلمين فى توادهم وتراحمهم,1.0
198,الله لا يحرم حدا من العائلة الدافية والذرية الصالحة,1.0
199,الله ما يحرمنا من كلماتك الحلوة يا شيخنا,1.0
200,الله و اخترت اسم غالى على قلبى قوى ربنا يثبتك على دين الاسلام اخترت صح بجد,1.0
201,الله يا ريت كنا في ذاك الزمن,1.0
202,الله ياريت يبقى فى اخلاق كدة فى الوقت دة,1.0
203,الله يبارك فيك جمــــــــــــــــــيله,1.0
204,الله يبارك فيك لانك غيرت في صاحبتي كتير وهي من المتؤثرين فيك وهي اللي عرفتني عليك,1.0
205,الله يبارك فيك ومرحبا يااخي في الاسلام,1.0
206,الله يبارك لنا فى ايامنا,1.0
207,الله يتئبل صلاتنا,1.0
208,الله يتمم افراح الجميع يا رب,1.0
209,الله يثبت قلبك على ديننا الاسلام,1.0
210,الله يثبتك و ينور طريقنا,1.0
211,الله يثبته يا رب ويثبتنا احنا كمان ,1.0
212,الله يرحمنا برحمته,1.0
213,الله يرزقها كل مشتهي يا رب,1.0
214,الله يزيدك من العلم ما تنتفع به الامه,1.0
215,الله يستر على بنات المسلمين جميعا,1.0
216,الله يسعد كل البشر امين يا رب,1.0
217,الله يسعدك و يبعد عنك كل شر,1.0
218,الله يشافيك و يعافيك من كل داء وهامة أخي سيد الوكيل,1.0
219,الله يصبحك برضاه,1.0
220,الله يعطيك الصحه و العافيه  ,1.0
221,الله يعين الجميع,1.0
222,الله يفتح عليك,1.0
223,الله يفرح الكل ويجمع بين المتحابين على خير,1.0
224,الله يقويك ,1.0
225,الله يكتر من امثالك يارب,1.0
226,الله يكثر الافراح,1.0
227,الله يهدي التائهين والضالين الى طريقه,1.0
228,الله يهدي الجميع للاسلام ,1.0
229,الله يهدي الجميع ويوفقك,1.0
230,الله يهدي النفوس,1.0
231,الله يوفقنا لصداقة امثالهم,1.0
232,اللهم أبعد عنى شهوات الدنيا وقربنى منك وأغفر لى ولكل المومنين,1.0
233,اللهم أحينا وأمتنا على الإسلام وعلى كلمة لا اله الا الله,1.0
234,اللهم أرزقنا فعل الخيرات وترك المنكرات,1.0
235,اللهم أرضنا و أرضى علينا,1.0
236,اللهم أصلح شأنى,1.0
237,اللهم أعنا على تقواك,1.0
238,اللهم أعنا على ذكرك و شكرك و حسن عبادتك,1.0
239,اللهم أعنا على ذكرك وشكرك وحسن عباتك,1.0
240,اللهم أعني على ذكرك و شكرك و حسن عبادتك,1.0
241,اللهم أغفر لى و لأمة المسلمين أجمعين,1.0
242,اللهم أنزع من قلبى حب كل شىء لا تحبه,1.0
243,اللهم أنس قلوبنا بذكرك ,1.0
244,اللهم إجعلنا ممن يأخذون بالأسباب,1.0
245,اللهم إجعلنا منهم,1.0
246,اللهم إن كان لي عوض على صبري,1.0
247,اللهم إنا نعوذ بك من غضبك و نسأللك رضاك,1.0
248,اللهم إنى أقسمت عليك بك أن تهدى شباب المسلمين وتنور قلوبهم كما أنعمت على طارق بنعمة اﻹسﻻم,1.0
249,اللهم إني أستغفرك من كل الذنوب والمعاصي وأتوب إليك,1.0
250,اللهم إني اسألك صبراً,1.0
251,اللهم إني اعود بك من الذنوب التي تزيل نعمتك وتحول عافيتك وتحبس رزقك وتعجل بغضبك,1.0
252,اللهم اتم علينا مكارم الاخلاق,1.0
253,اللهم اجعل سريرتي خير من على نيتي و اجعل على نيتي صالحة,1.0
254,اللهم اجعل لنا ايمانا صادقا و قلبا خاشعا و علما نافعا,1.0
255,اللهم اجعلنا دائما مسلمين صادقين في افكارنا و في اعمالنا,1.0
256,اللهم اجعلنا ممن تنظر اليهم بحب و اشتياق و اجعلنا من عبادك التوابين المخلصين العابدين الحق لدينك و احفظنا و قنا نار وقودها الناس و الحجاره يا رب,1.0
257,اللهم اجعلنا ممن يتمتعون بروح و ريحان,1.0
258,اللهم اجعلنا ممن يعطي الامانة حقه,1.0
259,اللهم اجعلنا من اللذين يصلحون فى الارض ولا يفسدون,1.0
260,اللهم اجعلنا منهم وارزقنا الطاقه ولاراده لزللك ياربى,1.0
261,اللهم اجعلنى خيرا مما يظنون و اغفر لي ما لا يعلمون,1.0
262,اللهم اجعلني مقيم الصلاة و من ذريتي ,1.0
263,اللهم اجعلني من يتشرف به الاسلام,1.0
264,اللهم احسن خواتيم اعمالنا و اجعل كل اوقاتنا طاعه,1.0
265,اللهم احفظني,1.0
266,اللهم اذقنا حبا رائعا حلالا طاهر,1.0
267,اللهم ارزق ابناء المسلمين زوجات صالحات وبنات المسلمين ازواج صالحين,1.0
268,اللهم ارزقنا الاخلاص,1.0
269,اللهم ارزقنا الاخلاص في القول و العمل و في السر و العلن و في الرخاء و الشده و في العافيه و المرض و عند الابتلاء,1.0
270,اللهم ارزقنا السلامة و العافية في ديننا و دنيانا,1.0
271,اللهم ارزقنا الصحبه الصالحة,1.0
272,اللهم ارزقنا الصدق و الاخلاص,1.0
273,اللهم ارزقنا العمل الصالح و الزريه الصالحه و ارزقنا يا الله حسن الخاتمه,1.0
274,اللهم ارزقنا ان نكون مثلهم,1.0
275,اللهم ارزقنا رزقا حلالا,1.0
276,اللهم ارزقنا زوجا صالحا محبا مثل,1.0
277,اللهم ارزقنا كما ترزق البغاث تسلميلي هنوده حلوه كثير الله يفتح عليكي و يهدينا و اياكي,1.0
278,اللهم ارزقنا من خيري الدنيا و الآخرة و ارزقنا حسن الخاتمة و ارزقنا الفردوس الأعلى مع من نحب و ارزقنا لذة النظر إلى وجهك الكريم,1.0
279,اللهم ارزقنا وإياك الجنه ,1.0
280,اللهم ارزقني حبك و حب من أحبك و حب عمل يقربني لحبك,1.0
281,اللهم ارزقني كما ترزق البغاث ,1.0
282,اللهم ارضنا بقضائك,1.0
283,اللهم ارنا الحق حقا و ارزقنا اتباعه و ارنا الباطل باطلا و ارزقنا اجتنابه,1.0
284,اللهم اروقنى من يواسينى فى الدنيا والاخر,1.0
285,اللهم ازرقنا رزق حلالا تغننا به عن حرامك ,1.0
286,اللهم استخدمنا في طاعتك,1.0
287,اللهم استخدمني ولا تستبدلني,1.0
288,اللهم استرنا وجميع بنات المسلمين,1.0
289,اللهم اسعد كل انسان,1.0
290,اللهم اصلح حال المسلمين,1.0
291,اللهم اصلح حال المسلمين و اجعلهم من الرباتين حتى نحرج مما نحن فيه لانه ان خلصت النوايا صلحت الاعمال,1.0
292,اللهم اصلح حالي و احفظني و نور قلبي و اجعل طريق الخير طريقي و اجعل عملي خالصا لوجهك الكريم و توب علي و اغفر لي زلاتي,1.0
293,اللهم اصلح سرى و علانيتى ,1.0
294,اللهم اصلح لنا حالنا,1.0
295,اللهم اصلح نفوسنا لما يرضيك عنها,1.0
296,اللهم اصلحنا و طهر قلوبنا من النفاق,1.0
297,اللهم اعز المسلمين,1.0
298,اللهم اعصمنا م معصيتك,1.0
299,اللهم اعنا ع ترك كل ما لا ترضي ,1.0
300,اللهم اعنا على انفسنا و اجعلنا نرى الدنيا صغيرة و الآخرة كبير,1.0
301,اللهم اعنا على ذكرك وشكرك وحسن عبادتك,1.0
302,اللهم اعنا على فعل الخيرات,1.0
303,اللهم اعنى على ترك المعاصى حبا فى نور وجهك,1.0
304,اللهم اغفر لنا انا كنا ظالمين و ادخلنا الجنة سالمين,1.0
305,اللهم اغفر له و وسع لك رحمتك له و اصلح له ذريته,1.0
306,اللهم اغفر لي ما لا يعلمون و اجعلني خيرا مما يظنون,1.0
307,اللهم اغننا بحلالك عن حرامك و اغننا بفضلك عمن سواك,1.0
308,اللهم اكثر من امثالك يا دكتور عمرو و الله نفسنا تشرفنا فى مسجد الصديق بشرتون هليوبوليس,1.0
309,اللهم اكثر من امثالهم,1.0
310,اللهم اكرمنا برضاك,1.0
311,اللهم اكفنا بحلالك عن حرامك,1.0
312,اللهم اكفني بحلالك عن حرامك واغنني بفضلك عمن سواك ,1.0
313,اللهم اكفني بحلالك عن حرامك واغنني بفضلك عمن سواك يا رب,1.0
314,اللهم القلوب الضاله,1.0
315,اللهم امليء قلبي بحبك ,1.0
316,اللهم ان كان رزقي بعيدا فقربه لي و ان كان قريبا فيسره لي وان كان كثيرا فبارك لي فيه,1.0
317,اللهم انا نسالك رزقا حلال طيبا مباركا يعيننا علي طاعتك,1.0
318,اللهم انا نعوذ بك من الرياء و النفاق,1.0
319,اللهم انر قلوب المسلمين و ايقظهم من غفلتهم ,1.0
320,اللهم انزع من قلوبنا مالا يرضيك,1.0
321,اللهم انصر الإسلام وأعز المسلمين,1.0
322,اللهم انصر المسلمين و المسلمات في كل مكان,1.0
323,اللهم انك عفو تحب العفو فاعف عنا,1.0
324,اللهم انى استغفرك واتوب اليك,1.0
325,اللهم اني اسألك خشية في السر و العلن,1.0
326,اللهم اني اسالك اخلاص النية و كرم الطوية,1.0
327,اللهم اهدنا الى صراطتك المستقيم,1.0
328,اللهم اهدنا ثم ثبتنا ,1.0
329,اللهم اهدنا صراطك المستقيم,1.0
330,اللهم اهدنا فيمن هديت وعافنا فيمن عافيت,1.0
331,اللهم اهدنا لكل عمل يقربنا اللى حبك,1.0
332,اللهم اهدنى الى ما تحب و ترضى,1.0
333,اللهم بارك فيك و عليك و ثبتك,1.0
334,اللهم باركي فيه واهدي كل مسلم لطريق النور,1.0
335,اللهم تب علينا انك التواب الرحيم,1.0
336,اللهم ثبت قلوبنا على الايمان,1.0
337,اللهم ثبتنا بالقول الثابت في الحياة الدنيا وفي الاخرة,1.0
338,اللهم ثبتنا على قيام الليل في رمضان,1.0
339,اللهم ثبتنا وثبته على دينك الحنيف وسنة نبيك,1.0
340,اللهم ثبته على دين الاسلام اللهم يا مقلب القلوب ثبت قلبي على دينك,1.0
341,اللهم حسننا و حسن اعمالنا ظاهرا و باطنا و لا تجعلنا نعمل الا ما يرضيك عنا برحمتك يا ارحم الراحمين,1.0
342,اللهم رزقنا مكارم الاخلاق,1.0
343,اللهم زيد المسلمين وبارك فيهم,1.0
344,اللهم زينا بالخلق الحسن و ارزقنا الامانة و نظافة القلب و اللسان امين,1.0
345,اللهم قني شر نفسي,1.0
346,اللهم قني عذاب النار و ادخلني جناتك,1.0
347,اللهم قونا على نفوسنا الضعيفة,1.0
348,اللهم قوِّ إيماننا لنكون أصحاب عزيمة و قرار ,1.0
349,اللهم كما حسنت خَلقنا حَسن أَخلاقِنا ,1.0
350,اللهم كن مع اخواننا في سوريا ,1.0
351,اللهم لا اعتراض على حكمك و ارزقنا انت خير الرازقين,1.0
352,اللهم لا تجعل لحب الدنيا سلطانا على قلبي بل اجعل حبك في قلبي سلطانا,1.0
353,اللهم لا تجعلنا من المنافقين,1.0
354,اللهم لا تحرم احد من هذه النعمة,1.0
355,اللهم لا تدع لى ذنبا الا غفرتة . اللهم اصلح لى دينى,1.0
356,اللهم لا تكلنا الى انفسنا طرفة عين,1.0
357,اللهم لم شمل جميع المسلمين,1.0
358,اللهم ما اصبح بي من نعمة أو بأحد من خلقك فمنك وحدك لا شريك فلك الحمد و لك الشكر,1.0
359,اللهم ما اعنا على التغير,1.0
360,"اللهم معنا علي طاعتك ورضاك وقوي عذامئنا """,1.0
361,اللهم نسألك السلامة من مثل هذه الخيبة,1.0
362,اللهم نقي نفوسنا و أجعلنا لك من المخلصين سرا و جهرا ,1.0
363,اللهم وفقنا لما تحب و ترضى يا رب,1.0
364,اللهم يا محول الاحوال حول حالى إن أحسن حال ,1.0
365,الماء اساس الحياه,1.0
366,المسلم الفطن النقي يتصرف بما يرضي الله في السر و العلن نسأل الله عز وجل ان نتبع كل ما يرضيه عنا,1.0
367,المهم الدعاء في السجود حتى تغسل عينيك الدموع,1.0
368,المهم هو الصادق معي الناصح لي,1.0
369,المواساة والمحبة بكل الامور رمز الاخوة ,1.0
370,الموت مع الناس رحمه..,1.0
371,المومين الى بعضهم كالبناء الزى يشد بعضة البعض,1.0
372,النية دايما بتكون موجودة وربنا المعين,1.0
373,الهم اجعلنا اخوة في الله واحشرنا مع الصديقين والشهداء والصالحين ,1.0
374,الهم اصلح بنات المسلمين,1.0
375,الهم سدد خطاه وجعل الاسلام نور لكل البشر,1.0
376,الوفاء اصبح شئ نادر يكاد يكون معدوم,1.0
377,الوفاء في غير قلبك ما لقيت,1.0
378,اما في الدين فتصير اخوة في الله وهي ارقى العلاقات الانسانية...بصحيح الحديث (رب اخ لم تلده امك),1.0
379,امتنا ما في زيها ,1.0
380,امشي عدل يحتار عدوك فيك,1.0
381,املأ رئتيك بعبق السماء مع ولادة صباح جديد تهتز له الحياة و تحتفل .. أيقظ عقلك بالنور .. و ابعث همتك حية متوثبة ، لتطوي نهارك في فرح,1.0
382,اميره ممكن اضافه لو سمحتي,1.0
383,امين,1.0
384,امين يا رب انت شاب زي الفل ما شاء الله عليك,1.0
385,ان الجميل اذا اخفيته ظهرا,1.0
386,ان الله على كل شيء قدير,1.0
387,ان الله لا يضيع أجر المحسنين,1.0
388,ان الله هو الرزاق دو القوة المتين,1.0
389,ان النجاح يحتاج الي قلبا ثابت و عقلا راشد و طموحا واعد و تحدي كاسر,1.0
390,ان شاء الله ربنا يعينا على فعل الطاعات,1.0
391,ان شاء الله هنكمل مشوار النجاح,1.0
392,ان شاء الله وربنا يعيننا,1.0
393,ان شاء الله يتقبل الله صلاتنا و يزيد في صلاتنا الخشوع,1.0
394,ان من صفات الاسلام الامانة,1.0
395,انا اخدت قرار وبعدت عن معصيه لله وقدرت وربي وفقني,1.0
396,انا انصح كل انسان ان لايكذب لان الكذب مداه قصير,1.0
397,انا بحب كل الناس و بتمنالهم الخير,1.0
398,انا بحبك في لله,1.0
399,انا بدأت و اتحرك و شاركت بفكرة ستغير الكثير من واقعن,1.0
400,انا دايما فرحان و مش سائل بالدنيا و الحمد لله,1.0
401,انا علي ثقه اني استطيع فعل اي شئ لان أنا من صنع الله,1.0
402,انا فعلا عملت كده والحمدلله بقيت احسن من غير الحجات الي ربنا خدها مني الحمدلله,1.0
403,انا فعلا مؤمن بالفكرة دي جدا وبحاول انفذها,1.0
404,انا كل يوم أقول غدا سوف اصلي لكن لا اقدر و انا أدعوا الله دائما ان يهديني .أرجو من من يملك حل مراسلتي.,1.0
405,انا لا أحلم ان اغير العالم ولكن احلم بأن استطيع ان ارسم البسمه علي وجوه الآخرين,1.0
406,انا مش عارفة كيف ابدا حياتي,1.0
407,انا معك بان دين الاسلام لكل الناس وفي كل زمان ومكان,1.0
408,انبسط يا عم و افرح,1.0
409,انت جيت في وقتك والله,1.0
410,انت مو انت و انت جوعان كل شوكولاته و افرح,1.0
411,انت يا دكتور خير اخ ربنا يزور عليك,1.0
412,انتا عظيم يا راجل,1.0
